,League_from,Team_from
0, Argentina,Argentinos
1, Argentina,Boca Juniors
2, Argentina,CA Rosario
3, Argentina,Chacarita Jrs
4, Argentina,Colón
5, Argentina,Estudiantes
6, Argentina,Gimnasia
7, Argentina,Independiente
8, Argentina,Lanús
9, Argentina,Newell's
10, Argentina,Racing Club
11, Argentina,River Plate
12, Argentina,San Lorenzo
13, Argentina,Vélez Sarsfield
14, Australia,Sydney Olympic
15, Brazil,Atlético-MG
16, Brazil,Atlético-PR
17, Brazil,Avaí FC
18, Brazil,Coimbra-MG
19, Brazil,Corinthians
20, Brazil,Cruzeiro
21, Brazil,Desp. Brasil
22, Brazil,EC Vitória
23, Brazil,FC São Paulo B
24, Brazil,Figueirense FC
25, Brazil,Flamengo
26, Brazil,Fluminense
27, Brazil,Goiás EC
28, Brazil,Grêmio
29, Brazil,Guarani
30, Brazil,Internacional
31, Brazil,Iraty SC
32, Brazil,Ituano
33, Brazil,Juventude
34, Brazil,Palmeiras
35, Brazil,Paraná
36, Brazil,Ponte Preta
37, Brazil,Portuguesa
38, Brazil,Santos FC
39, Brazil,São Caetano
40, Brazil,São Paulo
41, Brazil,Tombense
42, Brazil,Vasco U17
43, Brazil,Vasco da Gama
44, Bulgaria,CSKA Sofia
45, Bulgaria,Levski Sofia
46, Bulgaria,Litex Lovetch
47, Bulgaria,Lok. Plovdiv
48, Bulgaria,Lok. Sofia
49, Canada,Vancouver
50, Chile,Audax Italiano
51, Chile,CD Palestino
52, Chile,CDUC
53, Chile,Cobreloa
54, Chile,Colo Colo
55, Chile,U. de Chile
56, China,BJ Sinobo Guoan
57, China,DL Shide
58, China,Liaoning FC
59, China,SH Shenhua
60, Colombia,Atl. Nacional
61, Colombia,Deportivo Cali
62, Colombia,Indep. Medellín
63, Colombia,Once Caldas
64, Croatia,Dinamo Zagreb
65, Croatia,Hajduk Split
66, Croatia,NK Varazdin
67, Croatia,NK Zagreb
68, Czech Republic,Banik Ostrava
69, Czech Republic,FK Teplice
70, Czech Republic,Slovan Liberec
71, Czech Republic,Sparta Praha
72, Denmark,Aalborg BK
73, Denmark,Akademisk BK
74, Denmark,FC Copenhagen
75, Denmark,FC Midtjylland
76, Denmark,Odense BK
77, Ecuador,LDU Quito
78, England,Arsenal U23
79, England,Barnsley FC
80, England,Birmingham
81, England,Blackburn
82, England,Blackpool
83, England,Bolton
84, England,Bristol Rovers
85, England,Cambridge Utd.
86, England,Colchester Utd.
87, England,Fulham
88, England,Huddersfield
89, England,MK Dons
90, England,MK Dons U18
91, England,Norwich
92, England,QPR
93, England,Sheff Wed
94, England,Sheffield Utd.
95, England,Stoke City
96, England,Wigan
97, Finland,FC Lahti
98, France,Le Havre U19
99, France,Olymp. Lyon B
100, Ghana,Asante Kotoko
101, Iran,Persepolis
102," Korea, South",Busan IPark
103," Korea, South",Suwon Bluewings
104, Latvia,Skonto Riga
105, Mexico,Atlas
106, Mexico,CD Cruz Azul
107, Mexico,CF Pachuca
108, Mexico,Chivas
109, Mexico,Morelia
110, Mexico,Necaxa
111, Mexico,Santos Laguna
112, Mexico,Toluca
113, Moldova,Sheriff
